IQ,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,branch_encoded,KT,CGPA_Final,Placement
91.0,7.4669272440500265,1,6.560588435727656,10.0,2,1,1,7.43,0
99.0,5.0,1,3.5642491062256703,6.126609304836203,2,1,3,7.07,0
106.0,9.0,0,5.0,7.464655261613354,4,0,2,7.172,0
73.0,0.9628247064567788,0,7.0,2.0,4,2,1,5.486666666666667,0
102.0,4.6892122375408185,0,9.0,7.3322040869453975,3,1,3,7.97,0
91.0,4.904206821637025,0,4.9397203008636446,6.0,3,2,3,6.603333333333333,0
105.0,3.201317266561979,0,3.4359555411898874,5.0,1,1,4,4.457142857142857,0
98.0,4.0,0,6.0,3.0,4,1,2,0.0,0
96.0,7.0,1,5.763311760012115,4.9271780310399205,5,1,3,8.32,0
93.0,6.868876556969806,0,4.0,9.0,2,1,2,6.35,0
110.0,3.5307747610378613,0,2.0,1.0,3,1,2,6.926666666666667,1
118.0,8.0,1,9.0,3.0,6,1,1,7.906666666666666,0
103.0,8.0,0,1.0,4.974714406530275,2,2,3,2.625,0
104.0,5.168820894826819,1,4.8248902066030475,5.748596265243368,3,2,3,6.175000000000001,1
102.0,5.870850117268304,0,4.9354404317589875,6.008733681036791,4,0,1,7.99,1
100.0,6.358306147459135,0,10.0,6.73740707726312,5,2,2,8.46,0
94.0,4.777311203264489,1,4.324876049060137,5.479352010749121,3,1,3,5.01,0
102.0,8.0,0,5.0,5.910518708612507,3,1,1,5.94,0
103.0,3.2883633462917707,0,4.072922381814994,5.170129981414551,0,2,3,4.88,0
103.0,4.978651827800444,1,5.090198265017651,4.0,3,1,0,5.33,1
115.0,10.0,0,2.4453116806022663,6.0,5,0,5,4.623333333333334,0
102.0,5.368903026813463,1,4.218238302591839,5.884601443843046,3,0,2,9.34,0
95.0,3.0,1,1.0,3.1877836587729185,1,1,3,7.53,0
106.0,3.2375476528771756,1,5.0,6.7193929999819275,0,1,3,7.57,0
104.0,5.464761296358368,0,3.529950602759122,6.636699460049153,3,1,6,9.84,0
136.0,10.0,0,8.0,1.0,7,0,1,4.493333333333333,1
128.0,10.0,0,3.8633523337181117,6.1498371326013945,1,2,3,5.94,0
104.0,5.534769906772006,1,2.0,5.254220610791563,2,1,3,7.096666666666667,1
98.0,3.0,1,5.343092145745807,4.227882587577422,2,1,0,3.09,1
66.0,2.8651248610470432,0,3.0,7.645005843841254,3,0,2,6.19,0
121.0,4.964299376637911,0,4.0198266504491755,4.252264774867427,0,2,3,7.88,0
97.0,10.0,0,2.4480402662556315,4.0,5,1,2,6.28,0
94.0,6.0,0,0.0,4.883406566877607,2,1,3,5.285,0
86.0,3.0,0,6.500182943588957,10.0,2,0,3,6.07,0
107.0,8.0,0,8.0,7.5958027264490156,4,4,6,5.97,1
94.0,2.0,0,5.618103062704662,3.4690485013618755,2,1,0,7.64,0
105.0,5.0526058967680605,0,4.621885296486788,5.0,3,2,2,7.28,1
109.0,3.796818241147321,1,6.0,4.0,3,1,2,7.365,1
110.0,0.7573425124288207,0,7.0,0.0,2,1,0,6.2749999999999995,0
107.0,10.0,0,4.0722999299681355,7.4504879282150736,4,2,5,8.21,0
106.0,7.0,1,5.0,7.2396105510839845,3,1,5,7.081666666666667,0
102.0,7.0,0,4.536870100861705,5.953802207930121,3,1,2,7.36,0
103.0,4.891044746665532,0,4.866832610237484,5.62085416950848,3,2,3,4.8125,1
102.0,5.308858119726459,1,4.737656538621103,5.4080173515220675,3,1,3,6.4879999999999995,0
108.0,8.0,0,3.5689659995466982,7.0,3,0,3,3.8950000000000005,0
96.0,1.0,0,5.714145122289196,3.6753855358738114,3,1,2,4.983333333333333,1
103.0,4.9906745307985325,0,3.5090498978858236,6.120953153944335,3,1,5,6.45,0
100.0,4.286187954734395,0,4.0,4.579910548434627,0,4,4,6.6,0
101.0,5.337300399459117,1,7.0,5.0,4,1,2,7.096666666666667,0
95.0,7.099285119779829,0,7.0,4.0,4,4,3,7.4775,0
90.0,2.0,1,7.023383308312859,2.4885442223254692,1,4,0,9.02,0
104.0,5.825638399732153,0,8.0,3.0,4,4,2,8.585,1
118.0,10.0,0,2.2557645955030026,2.0,4,1,2,6.58,0
113.0,10.0,0,2.9400527288124323,8.444522236764575,0,2,2,9.46,0
103.0,4.996767185138079,0,4.7889292851430305,5.7922551433959235,3,1,2,5.8933333333333335,1
98.0,5.0897284987530504,0,7.0,5.130962243464932,3,1,0,7.2175,0
94.0,7.6103850709911605,0,7.0,10.0,2,3,2,3.38,1
98.0,1.0,0,4.567559902243673,1.0,2,2,1,9.07,0
101.0,5.0,0,10.0,6.349790721277511,3,2,2,6.676666666666667,0
97.0,5.0,0,4.945224212724366,7.0,0,3,3,6.57,0
97.0,2.0,1,4.0,3.4400835252155595,2,1,0,7.58,1
117.0,8.0,0,10.0,10.0,3,2,3,5.66,1
107.0,9.0,0,6.0,7.0,3,1,3,6.515,0
107.0,3.5358745025520832,1,3.528767776927971,1.0,3,1,2,7.287999999999999,0
110.0,10.0,0,10.0,7.0,5,2,2,5.409999999999999,0
103.0,7.0,1,0.0,4.78171034328636,2,1,2,6.609999999999999,1
96.0,5.870666318411644,0,5.0,4.435659688576116,4,0,0,6.29,0
127.0,7.17477298529116,0,4.854641582805716,3.085010704397657,2,2,3,8.0,0
90.0,9.312887895192297,1,1.0,10.0,1,1,0,7.366666666666667,1
99.0,4.996086315419134,0,4.785808331924997,6.305177891590414,3,1,2,7.215,1
106.0,4.492049207890382,1,10.0,7.754215683196342,4,1,2,6.752,1
104.0,5.831513246730793,1,4.814490536416738,6.236247957201325,3,2,3,9.68,1
102.0,2.0,1,4.299939852163124,3.0,1,2,3,4.82,0
127.0,8.246266925383921,1,5.840983453706471,4.0,4,0,2,6.76,0
104.0,8.0,0,7.0,6.6612809374544995,3,2,2,5.4,0
98.0,5.972492237172052,1,6.1028597655114964,5.0,3,4,3,3.15,1
106.0,3.1459185617461074,0,10.0,7.741458445423119,0,4,5,7.11,0
104.0,9.0,0,1.0,8.0,5,1,7,5.246666666666666,1
108.0,2.1042542085622884,0,10.0,4.0,1,2,0,8.223333333333334,0
99.0,5.0,1,5.449543857550903,8.0,3,1,3,4.003333333333333,1
125.0,9.219346893943666,1,2.0,6.0,1,1,4,8.39,0
99.0,6.7368532638681415,1,6.05806468716737,7.0,2,4,3,6.74,1
120.0,9.0,0,9.0,10.0,0,3,3,7.9399999999999995,0
110.0,5.0,1,6.0,2.0,3,4,2,7.41,1
97.0,2.0,1,1.0,3.3233242123496822,0,2,3,5.33,0
97.0,4.4741072998793925,1,10.0,8.073094256628451,4,2,2,7.54,1
83.0,10.0,1,0.0,9.0,0,1,3,9.07,1
94.0,1.0,0,1.0,2.465279863337164,1,1,3,7.380000000000001,0
109.0,0.0,1,9.0,1.0,4,1,4,4.79,0
97.0,9.0,0,2.0837121793570716,7.0,2,2,3,6.358,0
91.0,7.839426824523475,0,6.723348590828799,9.0,2,4,3,7.6425,0
110.0,8.0,1,3.09153364884871,6.0,4,1,6,6.663333333333334,0
107.0,2.9953830902158174,0,3.563348419546635,2.0,1,2,2,6.474000000000001,0
98.0,5.21435634545557,1,9.0,9.0,2,2,3,6.275,0
105.0,10.0,0,4.605069944688445,6.861412740377386,3,2,3,8.142,0
103.0,4.102054469834414,0,4.0,3.0,3,1,2,6.555,0
95.0,6.823454678626337,0,6.20434336682159,7.0,2,4,3,6.416666666666667,0
113.0,8.0,1,10.0,6.0,4,3,2,6.806,1
116.0,7.0,0,3.365028967722875,2.0,4,2,2,8.66,1
104.0,5.113808537049408,1,1.0,5.683013607656429,2,1,6,5.93,0
103.0,5.0,0,3.0,5.4185140759568355,3,1,3,6.5,1
73.0,9.005960222642436,1,6.0,2.0,9,4,3,6.2299999999999995,0
102.0,5.259150654990172,0,4.938027739136231,5.819074790425059,3,0,0,7.803333333333335,1
116.0,10.0,0,1.0,4.0,4,1,2,6.9275,1
102.0,5.019533237311407,1,4.702908923312318,4.398736546801203,3,1,3,3.14,0
98.0,10.0,1,3.0,9.0,2,1,3,7.834999999999999,0
100.0,6.666069898536939,0,3.0,5.211169640434296,4,1,3,8.2075,1
101.0,5.782258156179672,1,5.646233341937684,3.0,5,1,0,3.32,1
101.0,1.0,0,4.7362076909800095,3.615276632274856,1,3,6,5.62,0
97.0,2.0,0,8.0,4.7393877260012225,2,2,2,6.445,0
119.0,8.0,1,10.0,1.0,5,2,0,5.17,0
99.0,6.105027364034353,1,8.0,5.560248243284905,5,1,2,5.3133333333333335,0
110.0,8.0,1,3.6621911056095513,6.485916952609838,1,2,3,2.0,0
93.0,1.0,1,10.0,5.0,4,3,4,8.23,0
85.0,4.322987644453008,0,1.0,2.0,3,4,6,6.756,0
98.0,5.352162253208029,0,5.503130261820175,4.482643422375846,2,2,1,6.58,0
108.0,3.222306954433524,0,7.0,7.585240196823261,3,1,6,0.0,1
97.0,5.864195298834542,0,5.268179141319244,7.0,2,2,3,6.052499999999999,0
111.0,3.5612839963065106,0,2.9028583095118528,7.361660805504986,0,2,6,8.21,1
102.0,5.360800973615415,1,4.830196059520169,4.0,2,4,5,7.008,0
103.0,6.0,0,4.463631151762751,6.9622910293227385,2,2,2,9.06,1
96.0,7.448143275880319,1,6.0,8.0,4,1,1,6.733333333333333,1
95.0,4.0,0,5.347548003308681,8.0,2,0,3,8.164,0
100.0,5.193810764402116,0,5.0,5.568887553554262,3,1,2,7.6075,0
79.0,3.1011036158874,1,6.0,9.49895713739918,3,1,6,6.2225,0
106.0,8.0,0,4.760486480376457,7.0,3,2,3,5.3075,1
112.0,3.2757248248075044,0,3.3974157919536943,1.0,3,1,2,7.3325000000000005,1
95.0,1.0,1,2.0,3.3496981969862354,1,2,3,9.12,1
101.0,6.0,1,4.771644890569103,5.341525352492438,3,2,3,7.545,0
99.0,1.0,1,0.0,5.323964609972105,0,1,5,9.78,1
106.0,2.0,1,4.735469576973934,3.0,1,2,3,9.236666666666666,0
96.0,6.681317478357993,1,5.753746161019215,4.515480392987207,5,1,2,5.99,0
100.0,5.1996134575401065,0,4.643260269113085,5.365686634571077,3,1,2,7.41,0
117.0,7.617037870315929,1,5.6079811697480935,6.0,2,1,2,6.77,0
105.0,3.521291398224321,1,10.0,7.3449362201572885,2,1,2,5.37,0
98.0,6.161620270568399,0,5.157954836200673,5.103254030736407,4,1,3,7.52,0
96.0,1.0,0,4.922995420004678,3.6347168821737164,2,1,3,5.826666666666667,0
96.0,5.967317163240175,0,1.0,6.0,2,1,3,4.54,0
89.0,5.0,0,7.154806948464046,8.0,5,1,3,8.5175,1
93.0,2.8006382272541686,1,3.609668865198671,2.0,2,2,1,8.62,0
116.0,5.757080960772811,1,4.289591337448851,5.162406056876041,3,1,3,6.111666666666667,1
103.0,5.3215355545322325,0,2.0,5.114249527775126,2,1,3,6.006666666666667,1
100.0,5.521791481440395,1,0.0,4.590365341768663,2,0,3,8.7975,0
110.0,10.0,0,8.62450568716175,1.0,9,1,0,7.4366666666666665,0
120.0,9.0,1,2.580960685647799,0.0,4,2,2,5.08,0
99.0,5.94481524990718,0,2.0,4.622366572044353,2,1,3,8.88,0
92.0,7.101313284461977,1,6.182495952561098,7.0,4,1,2,5.09,0
95.0,5.894487069694925,1,4.0,5.0,1,4,3,5.88,0
102.0,5.635959821576211,0,5.425014519165892,5.526152227445557,2,3,3,7.206,1
86.0,10.0,0,6.0,2.629352671495269,10,0,0,6.103333333333333,0
115.0,5.12875977977254,0,4.662210449150805,3.988313093997391,1,2,2,6.572,0
105.0,8.105358550810465,0,0.0,7.0,1,1,4,6.773333333333333,0
103.0,5.766660812377339,1,7.0,6.595738226322327,4,2,6,6.6066666666666665,0
104.0,5.548861958821345,1,4.0,5.0,3,2,3,9.03,1
100.0,4.794568327402395,0,4.643338541105763,5.067805128923679,2,1,2,5.265,0
111.0,4.354507436904161,1,0.0,2.0,3,2,5,9.36,1
91.0,9.091753740738717,1,1.0,7.0,1,4,4,10.0,0
97.0,1.0,0,4.921465416855817,3.1409386615122425,2,2,3,0.18,0
100.0,5.035259127106141,0,5.0,5.450776301539278,3,1,2,6.7700000000000005,0
99.0,6.028019119681435,1,0.0,3.88830322479156,2,1,3,8.01,0
121.0,6.374665757979766,0,4.382833405769404,3.6954093478104326,2,1,3,6.71,0
50.0,8.0,0,0.0,9.0,5,4,5,7.192,0
102.0,5.0,0,4.326752263257351,5.568682640572153,0,3,3,7.275,0
70.0,6.0,0,8.0,10.0,3,3,4,7.2299999999999995,0
120.0,4.0,0,6.818068262311044,0.7219711089494698,4,1,3,7.3,0
103.0,10.0,1,5.585267694589113,6.668664475286672,5,1,0,6.496666666666667,1
97.0,3.0,0,4.491518516753157,4.810684231238708,0,1,0,3.78,0
104.0,4.50593674943822,0,4.0,5.7458019019190765,2,2,5,4.595714285714286,0
114.0,5.794919345181519,1,3.0557298855374917,6.341608186079377,3,1,6,7.169999999999999,1
98.0,6.916725202251769,0,4.934327440555656,5.380819109633773,5,1,4,8.21,0
123.0,6.0,1,7.648046017072268,7.0,0,3,5,4.93,0
102.0,10.0,1,6.2,7.0,5,3,2,7.32,0
68.0,1.0,1,5.564418336462197,10.0,2,1,3,4.83,1
112.0,1.0,1,4.267939138282234,2.296907396099657,1,2,5,6.15,0
99.0,8.0,1,0.0,1.0,1,3,0,7.612,1
104.0,4.998760823106462,1,4.758347415046494,5.711427215907683,3,2,3,5.354,1
110.0,1.9813721362278756,1,4.0,2.0,0,2,2,6.7675,0
109.0,1.9537868421433942,1,5.0,5.0,0,1,3,7.459999999999999,0
99.0,5.0347138301938195,0,4.967422383610174,4.7724662092385515,2,2,2,5.656666666666667,0
104.0,0.0,0,4.258575835133978,1.0,2,2,2,5.522500000000001,1
87.0,3.0,0,6.594247630533776,9.0,2,1,3,5.93,0
102.0,3.0,1,4.0,2.0,2,2,2,5.022,0
100.0,7.075170668531584,1,5.0795052569536665,5.482325030075865,5,2,6,7.66,0
96.0,6.840646669625411,1,5.731296553809017,7.0,4,1,3,6.27,0
89.0,4.066887556808879,0,4.576074511424046,7.3109723820763755,2,2,2,8.216666666666667,1
102.0,4.774496251706182,1,6.0,5.40470456391704,3,2,3,4.965,0
100.0,10.0,0,6.020347258367533,10.0,3,4,5,5.83,1
101.0,8.0,0,5.104618700847055,6.282672764654324,4,2,3,9.22,0
97.0,5.5928015457451,1,5.0,3.7223583177370685,2,2,0,6.92,0
120.0,6.04697139318284,1,9.0,5.043616214388399,3,2,3,7.01,0
91.0,6.0,1,6.256102605628435,10.0,2,3,6,6.8950000000000005,0
92.0,7.236281734046798,0,5.906677477604795,10.0,2,1,3,8.078,0
91.0,10.0,1,4.0,10.0,0,4,0,5.15,1
82.0,8.0,0,5.0,9.0,4,2,4,5.59,0
87.0,1.0,0,2.0,4.0,2,1,5,1.89,0
103.0,5.841475064484811,0,10.0,7.334750330475183,5,2,6,5.92,0
98.0,10.0,0,3.0,10.0,2,1,1,6.34,1
95.0,5.0,1,5.9003700646796275,3.7886466991521353,4,2,3,2.985,0
112.0,4.828486352022672,0,5.2617417222524665,3.5027010521100586,1,1,0,5.37,0
105.0,3.0,0,4.0,5.840236731297708,1,1,2,6.9325,1
111.0,1.9434314103623578,0,2.6298375862577608,2.0,0,1,2,7.89,0
111.0,3.6810302642967443,1,3.684477777169363,1.0,3,2,2,7.763333333333333,1
120.0,4.871463861133151,0,4.009148572612762,4.302377663879085,0,2,3,7.675,0
99.0,10.0,1,4.609905150564227,8.620870810928476,4,2,3,6.12,1
99.0,4.527474749082842,0,3.0,3.920906768353394,2,2,3,2.0,0
109.0,2.9679758638095812,0,3.218202369646228,1.0,3,2,5,5.26,0
106.0,4.9439532775444945,1,8.0,4.0,3,4,3,7.17,1
99.0,5.0,0,0.0,3.5360660358980525,1,2,3,9.41,0
121.0,9.0,0,1.0104524495713392,8.954246009936389,0,1,6,6.2780000000000005,0
90.0,3.0,0,5.9241988278970545,9.0,2,1,5,5.016666666666667,0
121.0,8.0,0,5.0,0.6963752128624883,5,2,3,6.864,0
92.0,9.470755707069166,1,7.884506767613441,3.9102838873582044,9,3,3,4.135,1
100.0,4.283199935284003,1,10.0,5.8385704314392175,3,1,0,4.933333333333334,0
108.0,4.202238675075055,1,10.0,9.115691946655673,4,1,5,6.7,1
78.0,1.0,0,8.098569116803773,9.0,0,1,0,5.56,0
97.0,7.0,0,6.2,7.15397580600612,4,1,2,7.04,0
86.0,3.771794365366091,1,3.0,6.472155790919427,1,2,3,8.39,0
105.0,4.72199728466672,1,3.0554657033330592,6.527587710388872,3,0,6,6.989999999999999,0
102.0,5.097852710819851,1,9.0,6.520064329437297,3,4,5,6.553333333333334,0
93.0,6.723058733991287,1,6.037480907343305,7.0,4,1,3,3.07,0
107.0,2.758569513192633,0,8.0,7.587294256526604,0,1,2,7.75,0
103.0,5.7404161273554415,0,4.796648879937305,6.336806075544992,3,1,2,9.83,1
89.0,0.19276709410316428,1,0.8717876379997342,4.0,0,3,8,6.675,0
98.0,4.877798663782961,0,3.812621668791099,5.874415411739477,3,1,4,6.757919296692966,0
95.0,4.009995302051863,1,4.6476865354695,6.365029684283243,2,2,2,5.4174999999999995,1
101.0,6.970717814690108,1,5.4854752217842275,5.8240962709966375,5,1,3,8.28,1
104.0,6.412884999863227,1,5.167826407048018,10.0,2,0,2,7.0120000000000005,1
99.0,4.0,0,4.881064335982138,4.366580138579815,2,2,3,3.4425,0
113.0,7.612289129275265,1,6.45529150711862,5.0,4,1,1,5.6,1
98.0,4.0,1,5.123814225437663,4.332663402523526,2,1,1,6.845000000000001,0
107.0,8.0,1,4.819318382896796,6.485542673633592,3,2,2,5.03,1
109.0,5.70758219213684,0,5.6445432319014905,4.85118324792753,3,1,0,6.984999999999999,1
105.0,4.459403271103135,0,10.0,7.844295991898838,4,1,2,6.781666666666666,1
96.0,7.4809550312442035,0,7.744059187246201,3.613270901789763,5,4,3,6.75,0
108.0,5.09933205128684,0,5.0173318671442715,4.0,2,1,1,4.3,0
115.0,7.0,1,2.482261067608519,2.0,2,2,2,7.4,0
93.0,4.0,1,10.0,9.0,3,2,3,6.94,0
106.0,6.1277080525767325,0,4.224524895353987,6.0,5,1,6,7.885999999999998,1
110.0,8.0,1,0.0,7.0,0,1,1,8.74,1
104.0,4.750159103825585,0,7.0,8.029869743032261,3,1,6,8.38,0
80.0,2.0,1,7.0935781983804915,8.0,1,1,0,7.3575,0
101.0,5.226974478838994,1,4.587939811025109,5.31683563510529,3,1,3,7.461666666666667,0
100.0,1.0,0,9.0,2.0,4,1,1,0.0,0
89.0,6.0,1,2.0,6.860503559513077,3,0,3,7.55,0
98.0,3.0,1,5.5292480473659005,2.0,5,1,2,9.386666666666665,1
101.0,5.548797204345938,0,7.42,9.0,3,1,3,7.49,1
98.0,3.0,1,5.551159936236306,4.560186590476249,2,1,0,9.47,1
94.0,7.866217628402524,1,6.0,5.0,2,4,0,9.1,0
87.0,4.21726666844982,0,4.587699837416913,6.431765847407114,3,1,2,6.371428571428572,0
89.0,4.860392211050744,0,6.216697904996021,5.001177271958163,2,4,3,5.8,0
96.0,6.210392585257058,1,1.0,6.0,2,1,3,4.85,0
106.0,3.7268544044235945,0,3.7504613898376498,8.0,0,1,3,8.144,1
100.0,3.0,1,4.893316273791907,5.103435462030227,2,2,3,7.994,1
108.0,5.608664441876833,0,10.0,8.0,3,1,2,6.96,0
73.0,2.187370156529795,1,10.0,10.0,3,0,1,5.95,0
101.0,5.555477472582975,0,5.31539333682797,5.2613613944031385,4,1,3,3.604,1
110.0,4.216660010353802,0,3.821529152465782,2.0,3,2,2,8.69,1
101.0,4.0,1,7.0,6.0,3,1,3,7.96,0
121.0,6.790768185278569,0,4.720367400710064,4.937064373804958,3,2,3,9.23,1
99.0,5.086377770401953,0,4.0,5.74,2,2,4,5.27,0
100.0,4.39994763671276,0,3.0,4.807787451224524,1,2,3,6.21,0
110.0,8.69,1,10.0,9.151951500187991,5,2,6,7.16,0
101.0,2.0,0,7.0,6.370183737826352,3,1,6,6.66,0
95.0,7.785759943557693,0,1.0,10.0,2,1,4,5.824999999999999,1
130.0,8.0,0,0.6425238556502784,3.0,1,1,1,7.77,1
113.0,3.0763667751936445,0,9.0,5.0,2,2,2,9.96,1
101.0,4.706924573219467,0,7.0,5.604596303751137,3,1,1,5.6025,0
111.0,1.0,0,10.0,6.6372429990044886,0,2,2,1.56,1
102.0,5.586778154369927,0,4.678120481335029,1.0,5,2,2,6.706666666666666,0
120.0,1.0,0,5.236940642633336,1.9961212783120743,1,1,2,7.912000000000001,1
118.0,9.0,1,3.3093328155974184,3.0,4,2,2,9.675,1
88.0,1.0,1,3.147900434750941,5.235503551926122,0,2,4,1.54,0
89.0,3.0,0,6.416894188464738,3.0082925048284395,5,1,3,6.56,0
78.0,5.0,1,4.844796649796606,7.071014204137409,3,2,2,8.24,0
98.0,7.069784380027539,0,0.0,7.0,2,1,3,7.472857142857143,1
101.0,3.798913823375063,0,2.0,4.318374953617106,0,1,1,6.711666666666666,0
117.0,10.0,0,3.0,1.0,4,2,1,7.436,0
97.0,4.21642211228292,1,4.804541082482565,5.857497150306234,3,2,3,3.18,1
93.0,6.364317887796705,1,5.403963430424579,9.0,3,2,3,9.28,1
105.0,5.0,0,3.4475736964860957,5.753455839427689,0,1,1,5.227142857142858,0
101.0,5.349345142662436,0,4.0,5.309559640790873,2,2,3,7.010000000000001,0
101.0,3.0,0,4.863517527997548,5.373743991683504,2,1,3,8.67,1
124.0,5.656863057061258,0,9.0,3.0,4,2,1,8.79,1
97.0,1.0,0,5.776222266718641,3.9004610708452,1,3,3,6.2700000000000005,1
104.0,3.0,0,4.094549011182622,1.0,3,2,3,8.022,0
102.0,4.0,1,5.7998933056444955,7.0,1,1,3,9.67,0
89.0,1.0,0,4.0,6.0,1,1,1,6.566666666666666,1
103.0,4.990149207947908,0,9.0,6.7093402558080975,3,2,2,7.588333333333334,0
102.0,5.61,0,6.0,6.1511366830630685,3,1,3,5.9159999999999995,0
